,Unnamed: 0,eveWaveTime,mornWaveTime,sec,sec2
0,,,,,
1,1.0,0 days 00:30:00,0 days 00:30:00,0.5,0.5
2,1.0,0 days 00:40:00,0 days 01:00:00,0.667,1.0
3,1.0,0 days 01:30:00,0 days 01:30:00,1.5,1.5
4,1.0,0 days 03:00:00,0 days 04:30:00,3.0,4.5
5,1.0,0 days 01:45:00,0 days 00:50:00,1.75,0.833
6,1.0,0 days 00:05:00,-1 days +23:40:00,0.083,-0.333
7,1.0,-1 days +23:40:00,0 days 00:35:00,-0.333,0.583
8,1.0,0 days 00:40:00,0 days 00:30:00,0.667,0.5
9,1.0,0 days 00:50:00,0 days 00:30:00,0.833,0.5
10,1.0,0 days 00:30:00,0 days 00:25:00,0.5,0.417
11,1.0,0 days 00:40:00,0 days 00:25:00,0.667,0.417
12,1.0,0 days 00:25:00,0 days 00:20:00,0.417,0.333
13,1.0,0 days 00:45:00,0 days 00:52:00,0.75,0.867
14,1.0,0 days 01:00:00,0 days 00:53:00,1.0,0.883
15,1.0,0 days 00:10:00,0 days 00:40:00,0.167,0.667
16,1.0,0 days 01:30:00,0 days 00:50:00,1.5,0.833
17,1.0,0 days 01:30:00,0 days 01:30:00,1.5,1.5
18,1.0,0 days 03:00:00,0 days 02:00:00,3.0,2.0
19,1.0,0 days 01:00:00,0 days 01:30:00,1.0,1.5
20,1.0,0 days 01:00:00,0 days 00:00:00,1.0,0.0
21,1.0,0 days 00:30:00,0 days 01:00:00,0.5,1.0
22,1.0,0 days 00:20:00,0 days 00:10:00,0.333,0.167
23,1.0,0 days 00:20:00,0 days 00:10:00,0.333,0.167
24,1.0,-1 days +23:55:00,0 days 00:40:00,-0.083,0.667
25,1.0,0 days 00:25:00,0 days 00:30:00,0.417,0.5
26,1.0,0 days 00:30:00,0 days 00:30:00,0.5,0.5
27,1.0,0 days 00:20:00,0 days 00:30:00,0.333,0.5
28,1.0,0 days 00:40:00,0 days 00:50:00,0.667,0.833
29,1.0,0 days 00:20:00,0 days 00:20:00,0.333,0.333
30,1.0,0 days 00:40:00,0 days 01:00:00,0.667,1.0
31,1.0,0 days 00:50:00,0 days 00:50:00,0.833,0.833
32,1.0,0 days 02:10:00,0 days 02:30:00,2.167,2.5
33,1.0,0 days 02:00:00,0 days 02:30:00,2.0,2.5
34,1.0,0 days 01:00:00,0 days 01:00:00,1.0,1.0
35,1.0,0 days 01:00:00,0 days 00:20:00,1.0,0.333
36,1.0,0 days 00:10:00,0 days 00:30:00,0.167,0.5
37,1.0,0 days 00:40:00,0 days 00:30:00,0.667,0.5
38,1.0,0 days 00:40:00,0 days 00:40:00,0.667,0.667
39,1.0,0 days 00:40:00,0 days 00:30:00,0.667,0.5
40,1.0,0 days 00:30:00,0 days 00:30:00,0.5,0.5
41,1.0,0 days 00:40:00,0 days 00:30:00,0.667,0.5
42,1.0,0 days 00:10:00,0 days 00:10:00,0.167,0.167
43,1.0,0 days 00:40:00,0 days 00:30:00,0.667,0.5
44,1.0,0 days 00:50:00,0 days 00:50:00,0.833,0.833
45,1.0,0 days 01:30:00,0 days 01:00:00,1.5,1.0
46,1.0,0 days 02:00:00,0 days 01:30:00,2.0,1.5
47,1.0,0 days 02:00:00,0 days 02:00:00,2.0,2.0
48,1.0,0 days 01:30:00,0 days 01:30:00,1.5,1.5
49,1.0,0 days 00:30:00,0 days 01:10:00,0.5,1.167
50,1.0,0 days 00:30:00,0 days 00:10:00,0.5,0.167
51,1.0,0 days 00:20:00,0 days 00:10:00,0.333,0.167
52,1.0,0 days 00:20:00,0 days 00:30:00,0.333,0.5
53,1.0,0 days 00:20:00,0 days 00:20:00,0.333,0.333
54,1.0,0 days 00:10:00,0 days 00:30:00,0.167,0.5
55,1.0,0 days 00:20:00,0 days 00:35:00,0.333,0.583
56,1.0,0 days 00:30:00,0 days 00:25:00,0.5,0.417
57,1.0,0 days 00:30:00,0 days 00:40:00,0.5,0.667
58,1.0,0 days 00:50:00,0 days 01:00:00,0.833,1.0
59,1.0,0 days 00:50:00,0 days 00:50:00,0.833,0.833
60,1.0,0 days 00:40:00,0 days 01:20:00,0.667,1.333
61,1.0,0 days 02:40:00,0 days 02:20:00,2.667,2.333
62,1.0,0 days 02:30:00,0 days 02:00:00,2.5,2.0
63,1.0,0 days 00:30:00,0 days 01:00:00,0.5,1.0
64,1.0,0 days 00:40:00,0 days 00:30:00,0.667,0.5
65,1.0,0 days 00:40:00,0 days 01:00:00,0.667,1.0
66,1.0,0 days 01:10:00,0 days 00:30:00,1.167,0.5
67,1.0,0 days 00:30:00,0 days 00:30:00,0.5,0.5
68,1.0,0 days 00:40:00,0 days 00:30:00,0.667,0.5
69,1.0,0 days 00:30:00,0 days 00:30:00,0.5,0.5
70,1.0,0 days 00:50:00,0 days 00:30:00,0.833,0.5
71,1.0,0 days 01:00:00,0 days 01:00:00,1.0,1.0
72,1.0,0 days 01:30:00,0 days 01:00:00,1.5,1.0
73,1.0,0 days 02:00:00,0 days 01:30:00,2.0,1.5
74,1.0,0 days 02:00:00,0 days 03:00:00,2.0,3.0
75,1.0,0 days 01:00:00,0 days 00:30:00,1.0,0.5
76,1.0,0 days 01:00:00,0 days 01:00:00,1.0,1.0
77,1.0,-1 days +23:20:00,0 days 00:20:00,-0.667,0.333
78,1.0,0 days 00:50:00,0 days 00:10:00,0.833,0.167
79,1.0,0 days 00:00:00,0 days 00:22:00,0.0,0.367
80,1.0,0 days 00:30:00,0 days 00:48:00,0.5,0.8
81,1.0,0 days 00:30:00,0 days 00:20:00,0.5,0.333
82,1.0,0 days 00:40:00,0 days 00:50:00,0.667,0.833
83,1.0,0 days 00:40:00,0 days 00:50:00,0.667,0.833
84,1.0,0 days 00:40:00,0 days 00:50:00,0.667,0.833
85,1.0,0 days 01:10:00,0 days 01:30:00,1.167,1.5
86,1.0,0 days 01:10:00,0 days 01:00:00,1.167,1.0
87,1.0,0 days 02:00:00,0 days 03:00:00,2.0,3.0
88,1.0,0 days 02:20:00,0 days 01:30:00,2.333,1.5
89,1.0,0 days 01:00:00,0 days 00:50:00,1.0,0.833
90,1.0,0 days 00:10:00,0 days 00:10:00,0.167,0.167
91,1.0,0 days 00:10:00,0 days 00:00:00,0.167,0.0
92,1.0,0 days 00:40:00,0 days 00:20:00,0.667,0.333
93,1.0,0 days 00:40:00,0 days 00:40:00,0.667,0.667
94,1.0,0 days 00:40:00,0 days 00:30:00,0.667,0.5
95,1.0,0 days 00:50:00,0 days 00:30:00,0.833,0.5
96,1.0,0 days 00:20:00,0 days 00:30:00,0.333,0.5
97,1.0,0 days 00:30:00,0 days 00:30:00,0.5,0.5
98,1.0,0 days 00:30:00,0 days 00:40:00,0.5,0.667
99,1.0,0 days 01:10:00,0 days 00:40:00,1.167,0.667
100,1.0,0 days 01:30:00,0 days 01:10:00,1.5,1.167
101,1.0,0 days 00:30:00,0 days 00:30:00,0.5,0.5
102,1.0,0 days 02:00:00,0 days 02:00:00,2.0,2.0
103,1.0,0 days 02:00:00,0 days 01:00:00,2.0,1.0
104,1.0,0 days 00:50:00,0 days 01:30:00,0.833,1.5
105,1.0,-1 days +23:50:00,0 days 01:00:00,-0.167,1.0
106,1.0,0 days 00:20:00,0 days 00:00:00,0.333,0.0
107,1.0,0 days 00:30:00,0 days 00:30:00,0.5,0.5
108,1.0,-1 days +23:50:00,0 days 00:20:00,-0.167,0.333
109,1.0,0 days 01:10:00,0 days 00:40:00,1.167,0.667
110,1.0,0 days 00:10:00,0 days 01:20:00,0.167,1.333
111,1.0,0 days 00:50:00,0 days 00:40:00,0.833,0.667
112,1.0,0 days 00:50:00,0 days 00:40:00,0.833,0.667
113,1.0,0 days 00:40:00,0 days 00:20:00,0.667,0.333
114,1.0,0 days 00:40:00,0 days 01:00:00,0.667,1.0
115,1.0,0 days 00:50:00,0 days 01:00:00,0.833,1.0
116,1.0,0 days 02:00:00,0 days 02:00:00,2.0,2.0
117,1.0,0 days 01:30:00,0 days 01:30:00,1.5,1.5
118,1.0,0 days 01:30:00,0 days 01:00:00,1.5,1.0
119,1.0,0 days 01:00:00,0 days 01:00:00,1.0,1.0
120,1.0,0 days 00:00:00,0 days 00:30:00,0.0,0.5
121,1.0,0 days 00:50:00,0 days 00:20:00,0.833,0.333
122,1.0,0 days 01:10:00,0 days 00:10:00,1.167,0.167
123,1.0,0 days 00:10:00,0 days 00:30:00,0.167,0.5
124,1.0,0 days 00:20:00,0 days 00:30:00,0.333,0.5
125,1.0,0 days 00:55:00,0 days 00:35:00,0.917,0.583
126,1.0,0 days 00:25:00,0 days 00:35:00,0.417,0.583
127,1.0,0 days 00:40:00,0 days 00:50:00,0.667,0.833
128,1.0,0 days 00:00:00,0 days 00:30:00,0.0,0.5
129,1.0,0 days 01:30:00,0 days 00:50:00,1.5,0.833
130,1.0,0 days 00:10:00,0 days 00:40:00,0.167,0.667
131,1.0,0 days 00:50:00,0 days 01:00:00,0.833,1.0
132,1.0,0 days 01:00:00,0 days 01:00:00,1.0,1.0
133,1.0,0 days 02:00:00,0 days 02:00:00,2.0,2.0
134,1.0,0 days 01:30:00,0 days 02:00:00,1.5,2.0
135,1.0,0 days 00:50:00,0 days 00:20:00,0.833,0.333
136,1.0,0 days 00:40:00,0 days 00:00:00,0.667,0.0
137,1.0,0 days 00:20:00,0 days 01:45:00,0.333,1.75
138,1.0,0 days 00:40:00,-1 days +23:55:00,0.667,-0.083
139,1.0,0 days 00:30:00,0 days 01:00:00,0.5,1.0
140,1.0,0 days 01:00:00,0 days 00:40:00,1.0,0.667
141,1.0,0 days 00:40:00,0 days 00:50:00,0.667,0.833
142,1.0,0 days 01:10:00,0 days 01:00:00,1.167,1.0
143,1.0,0 days 01:10:00,0 days 01:00:00,1.167,1.0
144,1.0,0 days 00:40:00,0 days 00:30:00,0.667,0.5
145,1.0,0 days 02:20:00,0 days 01:30:00,2.333,1.5
146,1.0,0 days 01:30:00,0 days 01:30:00,1.5,1.5
147,1.0,0 days 01:00:00,0 days 01:30:00,1.0,1.5
148,1.0,0 days 00:00:00,0 days 00:30:00,0.0,0.5
149,1.0,0 days 01:00:00,0 days 00:30:00,1.0,0.5
150,1.0,0 days 00:30:00,0 days 00:20:00,0.5,0.333
151,1.0,0 days 00:10:00,0 days 00:40:00,0.167,0.667
152,1.0,0 days 01:10:00,0 days 00:40:00,1.167,0.667
153,1.0,0 days 00:20:00,0 days 00:20:00,0.333,0.333
154,1.0,0 days 00:20:00,0 days 00:40:00,0.333,0.667
155,1.0,0 days 00:20:00,0 days 00:30:00,0.333,0.5
156,1.0,0 days 00:30:00,0 days 00:30:00,0.5,0.5
